1,Afganistán,OTRO
2,Albania,CONFLICTO
3,Alemania,CALAMIDAD
4,Andorra,OTRO
5,Angola,CONFLICTO
6,Antigua y Barbuda,CALAMIDAD
7,Arabia Saudita,OTRO
8,Argelia,CONFLICTO
9,Argentina,CALAMIDAD
10,Armenia,OTRO
11,Australia,CONFLICTO
12,Austria,CALAMIDAD
13,Azerbaiyán,OTRO
14,Bahamas,CONFLICTO
15,Bangladés,CALAMIDAD
16,Barbados,OTRO
17,Baréin,CONFLICTO
18,Bélgica,CALAMIDAD
19,Belice,OTRO
20,Benín,CONFLICTO
21,Bielorrusia,CALAMIDAD
22,Birmania,OTRO
23,Bolivia,CONFLICTO
24,Bosnia y Herzegovina,CALAMIDAD
25,Botsuana,OTRO
26,Brasil,CONFLICTO
27,Brunéi,CALAMIDAD
28,Bulgaria,OTRO
29,Burkina Faso,CONFLICTO
30,Burundi,CALAMIDAD
31,Bután,OTRO
32,Cabo Verde,CONFLICTO
33,Camboya,CALAMIDAD
34,Camerún,OTRO
35,Canadá,CONFLICTO
36,Catar,CALAMIDAD
37,Chad,OTRO
38,Chile,CONFLICTO
39,China,CALAMIDAD
40,Chipre,OTRO
41,Ciudad del Vaticano,CONFLICTO
42,Colombia,CALAMIDAD
43,Comoras,OTRO
44,Corea del Norte,CONFLICTO
45,Corea del Sur,CALAMIDAD
46,Costa de Marfil,OTRO
47,Costa Rica,CONFLICTO
48,Croacia,CALAMIDAD
49,Cuba,OTRO
50,Dinamarca,CONFLICTO
51,Dominica,CALAMIDAD
52,Ecuador,OTRO
53,Egipto,CONFLICTO
54,El Salvador,CALAMIDAD
55,Emiratos Árabes Unidos,OTRO
56,Eritrea,CONFLICTO
57,Eslovaquia,CALAMIDAD
58,Eslovenia,OTRO
59,España,CONFLICTO
60,Estados Unidos,CALAMIDAD
61,Estonia,OTRO
62,Etiopía,CONFLICTO
63,Filipinas,CALAMIDAD
64,Finlandia,OTRO
65,Fiyi,CONFLICTO
66,Francia,CALAMIDAD
67,Gabón,OTRO
68,Gambia,CONFLICTO
69,Georgia,CALAMIDAD
70,Ghana,OTRO
71,Granada,CONFLICTO
72,Grecia,CALAMIDAD
73,Guatemala,OTRO
74,Guinea,CONFLICTO
75,Guinea-Bisáu,CALAMIDAD
76,Guinea Ecuatorial,OTRO
77,Guyana,CONFLICTO
78,Haití,CALAMIDAD
79,Honduras,OTRO
80,Hungría,CONFLICTO
81,India,CALAMIDAD
82,Indonesia,OTRO
83,Irak,CONFLICTO
84,Irán,CALAMIDAD
85,Irlanda,OTRO
86,Islandia,CONFLICTO
87,Islas Marshall,CALAMIDAD
88,Islas Salomón,OTRO
89,Israel,CONFLICTO
90,Italia,CALAMIDAD
91,Jamaica,OTRO
92,Japón,CONFLICTO
93,Jordania,CALAMIDAD
94,Kazajistán,OTRO
95,Kenia,CONFLICTO
96,Kirguistán,CALAMIDAD
97,Kiribati,OTRO
98,Kuwait,CONFLICTO
99,Laos,CALAMIDAD
100,Lesoto,OTRO
101,Letonia,CONFLICTO
102,Líbano,CALAMIDAD
103,Liberia,OTRO
104,Libia,CONFLICTO
105,Liechtenstein,CALAMIDAD
106,Lituania,OTRO
107,Luxemburgo,CONFLICTO
108,Macedonia del Norte,CALAMIDAD
109,Madagascar,OTRO
110,Malasia,CONFLICTO
111,Malaui,CALAMIDAD
112,Maldivas,OTRO
113,Malí,CONFLICTO
114,Malta,CALAMIDAD
115,Marruecos,OTRO
116,Mauricio,CONFLICTO
117,Mauritania,CALAMIDAD
118,México,OTRO
119,Micronesia,CONFLICTO
120,Moldavia,CALAMIDAD
121,Mónaco,OTRO
122,Mongolia,CONFLICTO
123,Montenegro,CALAMIDAD
124,Mozambique,OTRO
125,Namibia,CONFLICTO
126,Nauru,CALAMIDAD
127,Nepal,OTRO
128,Nicaragua,CONFLICTO
129,Níger,CALAMIDAD
130,Nigeria,OTRO
131,Noruega,CONFLICTO
132,Nueva Zelanda,CALAMIDAD
133,Omán,OTRO
134,Países Bajos,CONFLICTO
135,Pakistán,CALAMIDAD
136,Palaos,OTRO
137,Panamá,CONFLICTO
138,Papúa Nueva Guinea,CALAMIDAD
139,Paraguay,OTRO
140,Perú,CONFLICTO
141,Polonia,CALAMIDAD
142,Portugal,OTRO
143,Reino Unido,CONFLICTO
144,República Centroafricana,CALAMIDAD
145,República Checa,OTRO
146,República del Congo,CONFLICTO
147,República Democrática del Congo,CALAMIDAD
148,República Dominicana,OTRO
149,República Sudafricana,CONFLICTO
150,Ruanda,CALAMIDAD
151,Rumania,OTRO
152,Rusia,CONFLICTO
153,Samoa,CALAMIDAD
154,San Cristóbal y Nieves,OTRO
155,San Marino,CONFLICTO
156,San Vicente y las Granadinas,CALAMIDAD
157,Santa Lucía,OTRO
